id,time,file,behaviour,type,family,stage,comment
6,1450.722,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(3).MP4,intruder,Heterospecific,Butterflyfish,Adult,
6,1258.36,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,aggression,Heterospecific,Chromis,Adult,
6,300.867,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Heterospecific,Chromis,Adult,
6,318.818,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Heterospecific,Chromis,Adult,
6,355.822,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Heterospecific,Chromis,Adult,
6,428.862,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Heterospecific,Chromis,Adult,
6,445.312,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Heterospecific,Chromis,Adult,
6,484.884,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Heterospecific,Chromis,Unknown,
6,518.118,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Heterospecific,Chromis,Unknown,
6,607.04,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Heterospecific,Chromis,Unknown,
6,841.31,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,intruder,Heterospecific,Chromis,Adult,
6,1009.245,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,intruder,Heterospecific,Chromis,Adult,
6,1067.336,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,intruder,Heterospecific,Chromis,Adult,
6,1299.535,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,intruder,Heterospecific,Chromis,Adult,
6,1060.129,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,aggression,Conspecific,Damselfish,Adult,
6,426.293,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Heterospecific,Damselfish,Juvenile,
6,498.598,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(1).MP4,intruder,Conspecific,Damselfish,Adult,
